JUDGE,PANEL_ID,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,PNL-16,574,572,554,534,2118,2196,2325,3265,3940,3105,2953
양품,PNL-17,576,576,554,530,2056,2257,2222,3131,3637,2923,2713
양품,PNL-18,573,571,559,537,2357,2121,2357,3260,3928,3117,2892
양품,PNL-19,572,575,559,536,2158,2135,2284,3358,3867,3033,2959
양품,PNL-20,572,574,555,532,2150,2134,2291,3291,3918,3024,2897
양품,PNL-01,572,575,553,534,1991,2195,3235,3434,3265,3577,3229
양품,PNL-02,575,576,558,536,2120,2170,2288,3274,3850,3043,2952
양품,PNL-03,572,573,551,534,2012,2158,3236,3423,3324,3229,3328
양품,PNL-04,568,573,551,534,2019,2152,3160,3506,3323,3514,3151
양품,PNL-05,571,572,553,535,2030,2225,3262,3510,3343,3220,3188
양품,PNL-06,567,573,549,533,2013,2198,3241,3567,3311,3211,3209
양품,PNL-07,573,576,559,537,2212,2126,2302,3357,3832,3019,2962
양품,PNL-08,574,577,559,537,2133,2133,2294,3323,3799,3020,2952
양품,PNL-09,575,574,559,537,2319,2134,2283,3325,3811,3148,2987
양품,PNL-10,566,571,553,534,2028,2152,3238,3446,3329,3189,3526
양품,PNL-11,573,576,557,534,2150,2125,2294,3366,3805,3020,2942
양품,PNL-12,570,573,551,532,2172,2163,3213,3446,3347,3382,3136
양품,PNL-13,575,573,558,536,2129,2183,2324,3284,3856,3042,2941
양품,PNL-14,569,570,553,535,2026,2157,3200,3407,3293,3129,3232
양품,PNL-15,572,574,552,533,2016,2206,3219,3434,3302,3324,3135
양품,PNL-16,568,575,552,535,2031,2158,3243,3498,3257,3225,3170
양품,PNL-17,573,575,554,535,2129,2370,2303,3309,3958,3055,3234
양품,PNL-18,569,575,553,534,2026,2196,3222,3431,3263,3204,3181
양품,PNL-19,571,575,553,534,2034,2183,3182,3508,3273,3181,3217
양품,PNL-20,572,573,551,533,2011,2222,3237,3442,3364,3204,3225
양품,PNL-01,570,571,552,534,2046,2187,3222,3546,3436,3201,3160
양품,PNL-02,569,570,553,534,2005,2216,3245,3431,3422,3199,3217
양품,PNL-03,574,576,558,536,2154,2118,2283,3332,3903,3130,3192
양품,PNL-04,577,574,552,533,2153,2163,2318,3293,3938,3281,2883
양품,PNL-05,569,571,552,533,2002,2342,3249,3510,3252,3223,3228
양품,PNL-06,575,574,554,532,2051,2015,2209,3080,3672,2957,2696
양품,PNL-07,572,574,558,537,2109,2117,2274,3247,3814,3070,2990
양품,PNL-08,570,574,551,531,2031,2162,3188,3507,3261,3203,3247
양품,PNL-09,572,573,559,537,2127,2149,2302,3236,3788,3023,2927
양품,PNL-10,575,572,548,529,2016,2203,3253,3861,3274,3130,3206
양품,PNL-11,575,576,555,532,2135,2115,2255,3220,3767,3005,2935
양품,PNL-12,567,574,552,532,2022,2199,3255,3505,3272,3235,3182
양품,PNL-13,576,570,544,527,2034,2188,3165,4034,3389,3194,3139
양품,PNL-14,575,573,558,537,2194,2100,2272,3270,3785,3011,2948
양품,PNL-15,575,574,553,531,2161,2125,2298,3242,3830,3023,2897
양품,PNL-16,575,575,559,535,2115,2133,2299,3318,3801,3099,2977
양품,PNL-17,569,571,551,534,2003,2203,3252,3515,3333,3216,3230
양품,PNL-18,569,572,551,532,1999,2200,3277,3501,3739,3199,3254
양품,PNL-19,569,570,552,534,1997,2197,3167,3551,3282,3165,3140
명점,PNL-20,574,576,558,536,2133,2111,2260,3262,3874,3268,2949
양품,PNL-01,569,574,553,532,2121,2152,3388,3438,3337,3165,3255
양품,PNL-02,573,573,557,535,2107,2178,2296,3281,3825,3020,2976
양품,PNL-03,575,574,557,534,2145,2170,2321,3380,3822,3048,2895
양품,PNL-04,574,572,556,536,2118,2147,2306,3328,3815,3058,2966
양품,PNL-05,569,574,553,534,1994,2184,3175,3701,3276,3137,3207
양품,PNL-06,570,575,553,534,2003,2207,3167,3489,3764,3131,3225
양품,PNL-07,569,574,553,532,2017,2200,3172,3520,3285,3222,3312
양품,PNL-08,577,572,553,533,2120,2140,2315,3477,3934,3079,2965
양품,PNL-09,569,575,554,535,1997,2164,3186,3427,3358,3208,3145
양품,PNL-10,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-11,574,575,558,537,2115,2134,2313,3307,3896,3114,2959
양품,PNL-12,572,574,555,532,2150,2134,2291,3291,3918,3024,2897
명점,PNL-13,568,575,551,535,1983,2166,3174,3466,3218,3347,3166
양품,PNL-14,569,571,553,534,2040,2267,3187,3527,3271,3150,3168
양품,PNL-15,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-16,569,574,553,533,2028,2193,3231,3433,3268,3234,3154
양품,PNL-17,568,570,555,536,2003,2210,3216,3526,3241,3202,3214
양품,PNL-18,571,573,548,528,2025,2155,3173,3524,3326,3272,3192
양품,PNL-19,573,571,553,534,2047,2189,3263,3654,3353,3190,3123
양품,PNL-20,572,572,551,532,2030,2182,3330,3510,3276,3203,3139
양품,PNL-01,569,573,552,533,2023,2152,3238,3379,3315,3206,3166
양품,PNL-02,573,572,559,537,2152,2394,2340,3232,3911,3103,2973
양품,PNL-03,569,570,551,535,2024,2206,3186,3510,3252,3157,3288
양품,PNL-04,575,577,557,531,2148,2160,2313,3590,3935,3104,2879
양품,PNL-05,573,573,559,537,2357,2121,2346,3339,3903,3104,2977
양품,PNL-06,569,568,548,531,2057,2155,3186,3533,3335,3224,3589
양품,PNL-07,573,575,555,535,2115,2175,2294,3204,3901,3041,2890
양품,PNL-08,569,573,552,532,2000,2162,3168,3464,3253,3156,3213
양품,PNL-09,569,569,552,534,2011,2145,3177,3524,3274,3283,3252
양품,PNL-10,575,575,553,532,2145,2117,2292,3390,3915,3025,2891
양품,PNL-11,575,569,556,530,2115,2167,2324,3279,3914,3088,2951
양품,PNL-12,571,573,551,531,2013,2284,3171,3514,3292,3204,3152
양품,PNL-13,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-14,572,575,554,533,2127,2135,2290,3254,4297,3037,2953
양품,PNL-15,573,575,555,535,2115,2175,2294,3204,3901,3041,2890
