JUDGE,TAT_1BLACK_2RTD,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE
양품,220.0,75,162.0,356.0,7020.0
양품,210.0,69,182.0,372.0,7020.0
양품,210.0,74,116.0,340.0,7680.0
양품,210.0,72,140.0,380.0,6780.0
양품,220.0,74,138.0,368.0,6900.0
양품,210.0,75,148.0,392.0,6987.0
양품,220.0,69,152.0,364.0,6780.0
양품,220.0,72,172.0,348.0,7080.0
명점,210.0,66,142.0,368.0,7827.0
양품,220.0,69,200.0,336.0,6987.0
양품,210.0,69,160.0,384.0,6867.0
양품,210.0,72,148.0,384.0,6780.0
양품,210.0,72,152.0,372.0,6873.0
명점,220.0,69,176.0,412.0,6747.0
양품,220.0,72,134.0,376.0,6720.0
명점,210.0,74,162.0,336.0,6747.0
양품,210.0,72,146.0,388.0,6993.0
양품,230.0,66,142.0,356.0,6813.0
양품,210.0,69,184.0,332.0,7140.0
양품,220.0,69,150.0,352.0,6627.0
양품,230.0,72,138.0,368.0,6780.0
양품,210.0,69,158.0,352.0,7020.0
양품,210.0,69,142.0,384.0,6960.0
양품,220.0,69,152.0,348.0,6993.0
양품,210.0,69,154.0,388.0,6960.0
양품,230.0,72,152.0,372.0,6900.0
양품,220.0,72,168.0,416.0,6720.0
명점,220.0,69,136.0,376.0,7233.0
양품,210.0,72,152.0,348.0,6867.0
양품,210.0,69,154.0,348.0,7407.0
양품,210.0,69,158.0,368.0,6807.0
양품,220.0,69,162.0,332.0,7020.0
양품,220.0,72,160.0,368.0,6780.0
양품,230.0,72,146.0,416.0,6720.0
양품,230.0,63,150.0,340.0,6960.0
양품,210.0,69,150.0,380.0,6867.0
양품,240.0,69,148.0,340.0,6747.0
양품,210.0,69,180.0,380.0,6900.0
양품,230.0,69,182.0,364.0,6783.0
양품,220.0,72,136.0,364.0,6960.0
양품,210.0,72,166.0,384.0,6807.0
양품,230.0,66,142.0,356.0,6813.0
양품,200.0,69,144.0,380.0,7500.0
양품,210.0,72,172.0,336.0,6987.0
양품,210.0,69,136.0,368.0,6840.0
양품,210.0,72,150.0,352.0,7260.0
양품,220.0,69,152.0,348.0,6993.0
양품,210.0,69,166.0,364.0,6960.0
양품,210.0,69,146.0,372.0,6660.0
양품,210.0,69,154.0,384.0,6840.0
양품,220.0,72,160.0,368.0,6780.0
양품,220.0,72,136.0,364.0,6987.0
양품,210.0,69,314.0,408.0,6660.0
양품,210.0,69,132.0,356.0,6900.0
양품,220.0,69,142.0,380.0,7473.0
양품,220.0,74,138.0,368.0,6900.0
양품,230.0,72,138.0,368.0,6780.0
양품,220.0,72,132.0,416.0,6960.0
양품,220.0,72,174.0,408.0,7293.0
양품,220.0,72,158.0,372.0,6933.0
양품,210.0,72,150.0,392.0,6840.0
양품,220.0,72,192.0,404.0,6747.0
양품,210.0,72,150.0,352.0,7353.0
양품,210.0,69,178.0,364.0,6687.0
양품,210.0,74,172.0,348.0,6987.0
명점,210.0,69,164.0,348.0,6720.0
양품,210.0,69,186.0,332.0,7020.0
양품,220.0,72,130.0,384.0,6900.0
양품,220.0,72,136.0,380.0,7167.0
양품,230.0,72,138.0,384.0,7020.0
양품,210.0,77,148.0,372.0,6630.0
양품,210.0,75,188.0,384.0,7413.0
명점,220.0,72,142.0,364.0,7167.0
양품,210.0,72,160.0,372.0,6687.0
양품,210.0,69,138.0,380.0,6660.0
명점,220.0,69,136.0,376.0,7233.0
